--------------
C:\Users\mcmar\source\repos\betting\Betting\bin\Release>Betting.exe -u -e --league=Championship -y=2018 -r=9 > ..\..\..\OutputData\dataII1Championship.txt
--------------


 R2 values  1 0.58, X 0.49, 2 0.20 metric 5049 

 R2 values  1 0.54, X 0.36, 2 0.07 metric 7543 

 R2 values  1 0.77, X 0.75, 2 0.03 metric 116 

 R2 values  1 0.00, X 0.00, 2 0.00 metric 100 

 R2 values  1 0.71, X 0.69, 2 0.01 metric 2543 

 R2 values  1 0.84, X 0.87, 2 0.00 metric 5050 

 R2 values  1 0.55, X 0.40, 2 0.11 metric 7544 

 R2 values  1 0.08, X 0.69, 2 0.05 metric 101 

 R2 values  1 0.73, X 0.71, 2 0.01 metric 117 

 R2 values  1 0.43, X 0.43, 2 0.05 metric 2544 

 R2 values  1 0.83, X 0.82, 2 0.08 metric 5051 

 R2 values  1 0.44, X 0.42, 2 0.08 metric 7545 

 R2 values  1 0.63, X 0.74, 2 0.10 metric 102 

 R2 values  1 0.75, X 0.79, 2 0.06 metric 118 

 R2 values  1 0.58, X 0.51, 2 0.09 metric 2545 

 R2 values  1 0.87, X 0.82, 2 0.21 metric 5052 

 R2 values  1 0.47, X 0.47, 2 0.17 metric 7546 

 R2 values  1 0.67, X 0.66, 2 0.19 metric 103 

 R2 values  1 0.71, X 0.72, 2 0.04 metric 119 

 R2 values  1 0.81, X 0.79, 2 0.10 metric 5053 

 R2 values  1 0.88, X 0.79, 2 0.10 metric 104 

 R2 values  1 0.52, X 0.49, 2 0.15 metric 2546 

 R2 values  1 0.45, X 0.38, 2 0.14 metric 7547 

 R2 values  1 0.83, X 0.83, 2 0.08 metric 105 

 R2 values  1 0.83, X 0.77, 2 0.11 metric 124 

 R2 values  1 0.77, X 0.72, 2 0.12 metric 5054 

 R2 values  1 0.51, X 0.40, 2 0.12 metric 2547 

 R2 values  1 0.44, X 0.49, 2 0.20 metric 7548 

 R2 values  1 0.76, X 0.87, 2 0.06 metric 106 

 R2 values  1 0.34, X 0.31, 2 0.33 metric 120 

 R2 values  1 0.73, X 0.79, 2 0.00 metric 125 

 R2 values  1 0.72, X 0.70, 2 0.03 metric 107 

 R2 values  1 0.72, X 0.77, 2 0.11 metric 121 

 R2 values  1 0.78, X 0.62, 2 0.31 metric 5055 

 R2 values  1 0.72, X 0.39, 2 0.20 metric 7549 

 R2 values  1 0.41, X 0.48, 2 0.16 metric 2548 

 R2 values  1 0.60, X 0.52, 2 0.07 metric 127 

 R2 values  1 0.72, X 0.74, 2 0.16 metric 122 

 R2 values  1 0.81, X 0.75, 2 0.03 metric 126 

 R2 values  1 0.83, X 0.57, 2 0.17 metric 5056 

 R2 values  1 0.60, X 0.50, 2 0.17 metric 7550 

 R2 values  1 0.39, X 0.41, 2 0.09 metric 2549 

 R2 values  1 0.77, X 0.78, 2 0.26 metric 128 

 R2 values  1 0.71, X 0.59, 2 0.11 metric 143 

 R2 values  1 0.76, X 0.68, 2 0.14 metric 2550 

 R2 values  1 0.62, X 0.76, 2 0.06 metric 123 

 R2 values  1 0.62, X 0.35, 2 0.26 metric 7551 

 R2 values  1 0.70, X 0.81, 2 0.01 metric 129 

 R2 values  1 0.69, X 0.41, 2 0.15 metric 5057 

 R2 values  1 0.75, X 0.76, 2 0.00 metric 144 

 R2 values  1 0.74, X 0.64, 2 0.06 metric 2551 

 R2 values  1 0.57, X 0.29, 2 0.17 metric 7552 

 R2 values  1 0.58, X 0.59, 2 0.12 metric 147 

 R2 values  1 0.50, X 0.60, 2 0.08 metric 130 

 R2 values  1 0.80, X 0.54, 2 0.28 metric 5058 

 R2 values  1 0.71, X 0.50, 2 0.12 metric 145 

 R2 values  1 0.62, X 0.60, 2 0.02 metric 2552 

 R2 values  1 0.69, X 0.47, 2 0.36 metric 146 

 R2 values  1 0.63, X 0.68, 2 0.01 metric 131 

 R2 values  1 0.64, X 0.53, 2 0.18 metric 5059 

 R2 values  1 0.60, X 0.59, 2 0.05 metric 7553 

 R2 values  1 0.55, X 0.68, 2 0.13 metric 148 

 R2 values  1 0.64, X 0.61, 2 0.05 metric 2553 

 R2 values  1 0.64, X 0.59, 2 0.06 metric 163 

 R2 values  1 0.77, X 0.68, 2 0.05 metric 132 

 R2 values  1 0.68, X 0.66, 2 0.19 metric 149 

 R2 values  1 0.43, X 0.36, 2 0.09 metric 7554 

 R2 values  1 0.85, X 0.82, 2 0.09 metric 5060 

 R2 values  1 0.73, X 0.48, 2 0.06 metric 164 

 R2 values  1 0.76, X 0.86, 2 0.15 metric 150 

 R2 values  1 0.62, X 0.70, 2 0.10 metric 2554 

 R2 values  1 0.72, X 0.38, 2 0.19 metric 7555 

 R2 values  1 0.88, X 0.70, 2 0.21 metric 5061 

 R2 values  1 0.57, X 0.59, 2 0.05 metric 165 

 R2 values  1 0.62, X 0.50, 2 0.14 metric 133 

 R2 values  1 0.76, X 0.58, 2 0.22 metric 5062 

 R2 values  1 0.47, X 0.53, 2 0.14 metric 166 

 R2 values  1 0.58, X 0.36, 2 0.29 metric 7556 

 R2 values  1 0.64, X 0.68, 2 0.00 metric 151 

 R2 values  1 0.45, X 0.33, 2 0.14 metric 167 

 R2 values  1 0.61, X 0.53, 2 0.05 metric 134 

 R2 values  1 0.54, X 0.51, 2 0.08 metric 2555 

 R2 values  1 0.61, X 0.29, 2 0.23 metric 7557 

 R2 values  1 0.80, X 0.73, 2 0.01 metric 152 

 R2 values  1 0.76, X 0.71, 2 0.02 metric 135 

 R2 values  1 0.71, X 0.67, 2 0.22 metric 5063 

 R2 values  1 0.54, X 0.41, 2 0.22 metric 2556 

 R2 values  1 0.44, X 0.32, 2 0.35 metric 7558 

 R2 values  1 0.64, X 0.39, 2 0.29 metric 168 

 R2 values  1 0.77, X 0.58, 2 0.15 metric 5064 

 R2 values  1 0.73, X 0.65, 2 0.06 metric 153 

 R2 values  1 0.69, X 0.48, 2 0.32 metric 7559 

 R2 values  1 0.59, X 0.51, 2 0.32 metric 2557 

 R2 values  1 0.64, X 0.48, 2 0.16 metric 169 

 R2 values  1 0.78, X 0.59, 2 0.27 metric 5065 

 R2 values  1 0.78, X 0.64, 2 0.10 metric 136 

 R2 values  1 0.54, X 0.54, 2 0.12 metric 154 

 R2 values  1 0.79, X 0.81, 2 0.02 metric 170 

 R2 values  1 0.65, X 0.46, 2 0.37 metric 2558 

 R2 values  1 0.76, X 0.51, 2 0.15 metric 5066 

 R2 values  1 0.79, X 0.76, 2 0.09 metric 137 

 R2 values  1 0.68, X 0.47, 2 0.21 metric 7560 

 R2 values  1 0.55, X 0.67, 2 0.03 metric 155 

 R2 values  1 0.83, X 0.62, 2 0.09 metric 171 

