Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,HPTS,APTS,HPL,APL,FOH,FOD,FOA
E1,21/08/10,Norwich,Swansea,2,0,H,0,0,D,P Crossley,7,15,4,6,16,7,4,6,2,1,0,0,2.38,3.3,2.9,2.3,3.2,2.75,2.25,3.25,3,2.3,3.1,2.6,2.1,3.25,3.4,2.3,3.25,2.8,2.4,3.2,3,2.2,3.2,3.2,2.38,3.25,3.1,2.2,3.25,3.3,36,2.43,2.28,3.3,3.2,3.4,3.05,31,2.12,2.02,1.83,1.74,21,0,1.72,1.63,2.38,2.19,3,3,2,2,2.46,3.28,3.47
E1,21/08/10,Preston,Portsmouth,1,0,H,1,0,H,D Webb,15,16,4,3,9,7,10,6,2,3,0,0,2.63,3.25,2.63,2.5,3.1,2.55,2.55,3.25,2.6,2.5,3.1,2.4,2.62,3.3,2.62,2.45,3.25,2.6,2.62,3.2,2.7,2.5,3.25,2.63,2.62,3.25,2.75,2.6,3.2,2.7,36,2.84,2.59,3.3,3.19,2.8,2.63,31,2.11,2.02,1.86,1.74,26,0,2,1.86,2,1.88,0,1,2,2,2.60,3.01,3.53
E1,21/08/10,QPR,Scunthorpe,2,0,H,2,0,H,G Salisbury,18,9,11,5,9,14,7,4,1,0,0,0,1.44,4,8,1.45,3.75,6.5,1.44,4,7,1.45,3.8,5.4,1.44,4.33,7,1.45,3.8,7,1.5,4,7,1.5,4,6,1.5,4.2,6.5,1.5,3.75,7.5,36,1.5,1.46,4.42,3.92,8.75,7.25,30,1.8,1.73,2.16,2.04,16,0,1.18,1.12,6.94,5.36,6,3,2,2,2.09,4.01,3.66
E1,21/08/10,Reading,Nott'm Forest,1,1,D,1,0,H,L Probert,10,6,6,4,14,13,8,5,2,2,0,0,2.25,3.4,3.1,2.1,3.2,3.1,2.15,3.25,3.2,2.1,3.1,3,2.25,3.25,3.25,2.25,3.25,2.85,2.3,3.2,3.2,2.2,3.25,3.1,2.3,3.2,3.3,2.3,3.25,3.1,36,2.3,2.2,3.41,3.23,3.56,3.17,29,2.11,2,1.8,1.74,17,0,1.68,1.59,2.31,2.2,1,1,2,2,2.46,3.28,3.47
E1,22/08/10,Middlesbrough,Sheffield United,1,0,H,0,0,D,D Whitestone,7,6,3,3,12,12,2,7,2,0,0,0,2.1,3.3,3.5,2,3.2,3.35,2,3.2,3.7,2,3.2,3.1,1.91,3.4,4,2,3.25,3.4,2.1,3.2,3.6,2,3.25,3.75,2.1,3.3,3.6,2.1,3.25,3.6,35,2.14,2.03,3.4,3.24,4,3.66,30,2.2,2.09,1.78,1.69,17,0,1.55,1.44,2.85,2.6,1,1,2,2,2.28,3.61,3.51
E1,28/08/10,Barnsley,Middlesbrough,2,0,H,1,0,H,K Hill,12,12,7,7,15,12,6,5,1,2,0,0,2.8,3.25,2.5,2.65,3.1,2.45,2.75,3.2,2.4,2.45,3.1,2.45,2.8,3.3,2.5,2.65,3.2,2.45,2.88,3.2,2.5,2.75,3.25,2.38,2.88,3.25,2.5,2.9,3.3,2.38,35,3.02,2.76,3.32,3.21,2.56,2.47,25,2.21,2.1,1.71,1.66,25,0,2.18,2.03,1.8,1.74,4,4,3,3,2.67,2.86,3.63
E1,28/08/10,Derby,QPR,2,2,D,1,0,H,M Haywood,9,10,7,5,11,10,7,4,1,1,0,0,2.88,3.3,2.4,2.6,3.2,2.4,2.75,3.2,2.4,2.6,3.1,2.3,3,3.25,2.38,2.8,3.1,2.38,3,3.2,2.4,2.75,3.25,2.38,2.88,3.2,2.5,2.9,3.25,2.4,35,3.1,2.85,3.38,3.21,2.5,2.4,29,2.18,2.05,1.76,1.71,26,0,2.16,2.04,1.8,1.75,3,9,3,3,2.71,2.72,3.78
E1,28/08/10,Doncaster,Hull,3,1,H,2,1,H,L Mason,11,7,7,6,9,9,4,3,0,4,0,0,2.2,3.3,3.25,2.25,3.1,2.9,2.2,3.2,3.1,2.3,3.1,2.6,2.2,3.3,3.3,2.2,3.25,2.95,2.25,3.3,3.2,2.25,3.25,3,2.25,3.25,3.25,2.2,3.25,3.25,35,2.3,2.22,3.37,3.24,3.63,3.13,25,2.21,2.1,1.71,1.66,18,0,1.7,1.59,2.38,2.21,4,4,3,3,2.51,3.18,3.48
E1,28/08/10,Ipswich,Bristol City,2,0,H,0,0,D,M Russell,17,8,6,4,4,6,5,2,0,1,0,0,1.8,3.5,4.5,1.7,3.3,4.5,1.75,3.4,4.5,1.7,3.3,4,1.8,3.5,4.5,1.73,3.4,4.33,1.8,3.5,4.5,1.83,3.4,4,1.85,3.3,4.6,1.8,3.4,4.5,35,1.91,1.8,3.53,3.37,5,4.39,30,2.11,2,1.82,1.75,16,0,1.4,1.32,3.5,3.18,7,2,3,3,2.03,4.17,3.74
E1,28/08/10,Leicester,Reading,1,2,A,0,1,A,C Webster,15,11,10,5,8,10,11,5,1,0,0,0,2.25,3.25,3.2,2.2,3.25,2.85,2.25,3.2,3,2.3,3.1,2.6,2.25,3.25,3.25,2.3,3.2,2.8,2.25,3.2,3.2,2.25,3.25,3,2.3,3.25,3.2,2.3,3.2,3.1,35,2.33,2.26,3.37,3.23,3.4,3.06,29,2.21,2.08,1.76,1.69,21,0,1.7,1.64,2.35,2.18,1,2,3,3,2.56,3.10,3.50
